id,key,value,type 
19569211,cfcc,A41,tiger
19569211,county,"Maury, TN",tiger
19569211,reviewed,no,tiger
19569211,zip_left,38401,tiger
19569211,name_base,Parkview,tiger
19569211,name_type,Dr,tiger
19569211,zip_right,38401,tiger
19569441,name,Alfred Drive,regular
19569441,highway,residential,regular
19569441,cfcc,A41,tiger
19569441,county,"Montgomery, TN",tiger
19569441,reviewed,no,tiger
19569441,zip_left,37043,tiger
19569441,name_base,Alfred,tiger
19569441,name_type,Dr,tiger
19569441,zip_right,37043,tiger
19569676,name,Goodman Lane,regular
19569676,highway,residential,regular
19569676,cfcc,A41,tiger
19569676,county,"Maury, TN",tiger
19569676,reviewed,no,tiger
19569676,zip_left,38461,tiger
19569676,name_base,Goodman,tiger
19569676,name_type,Ln,tiger
19569676,zip_right,38461,tiger
19569924,name,Tulip Court,regular
19569924,highway,residential,regular
19569924,cfcc,A41,tiger
19569924,county,"Montgomery, TN",tiger
19569924,reviewed,no,tiger
19569924,zip_left,37040,tiger
19569924,name_base,Tulip,tiger
19569924,name_type,Ct,tiger
19569924,zip_right,37040,tiger
19570148,name,Indian Mound Road,regular
19570148,highway,residential,regular
19570148,cfcc,A41,tiger
19570148,county,"Montgomery, TN",tiger
19570148,reviewed,no,tiger
19570148,name_base,Indian Mound,tiger
19570148,name_type,Rd,tiger
19570374,name,Formosa Drive,regular
19570374,highway,residential,regular
19570374,cfcc,A41,tiger
19570374,county,"Maury, TN",tiger
19570374,reviewed,no,tiger
19570374,name_base,Formosa,tiger
19570374,name_type,Dr,tiger
19570557,name,Fenton Court,regular
19570557,highway,residential,regular
19570557,cfcc,A41,tiger
19570557,county,"Montgomery, TN",tiger
19570557,reviewed,no,tiger
19570557,zip_left,37040,tiger
19570557,name_base,Fenton,tiger
19570557,name_type,Ct,tiger
19570557,zip_right,37040,tiger
19570739,highway,residential,regular
19570739,name,Vestal Hollow Road,regular
19570739,cfcc,A41,tiger
19570739,county,"Maury, TN",tiger
19570739,name_base,Vestal Hollow,tiger
19570739,name_type,Rd,tiger
19570739,reviewed,no,tiger
19570739,zip_left,38482,tiger
19570739,zip_right,38482,tiger
19570941,name,Sewell Drive,regular
19570941,highway,residential,regular
19570941,cfcc,A41,tiger
19570941,county,"Montgomery, TN",tiger
19570941,reviewed,no,tiger
19570941,zip_left,37042,tiger
19570941,name_base,Sewell,tiger
19570941,name_type,Dr,tiger
19570941,zip_right,37042,tiger
19571142,name,Margret Drive,regular
19571142,name_1,Margie Drive,regular
19571142,highway,residential,regular
19571142,cfcc,A41,tiger
19571142,county,"Montgomery, TN",tiger
19571142,reviewed,no,tiger
19571142,zip_left,37042,tiger
19571142,name_base,Margret,tiger
19571142,name_type,Dr,tiger
19571142,zip_right,37042,tiger
19571142,name_base_1,Margie,tiger
19571142,name_type_1,Dr,tiger
19571344,name,Country Club Lane,regular
19571344,highway,residential,regular
19571344,cfcc,A41,tiger
19571344,county,"Maury, TN",tiger
19571344,reviewed,no,tiger
19571344,zip_left,38401,tiger
19571344,name_base,Country Club,tiger
19571344,name_type,Ln,tiger
19571344,zip_right,38401,tiger
19571520,name,Bradley Street,regular
19571520,highway,residential,regular
19571520,cfcc,A41,tiger
19571520,county,"Montgomery, TN",tiger
19571520,reviewed,no,tiger
19571520,zip_left,37040,tiger
19571520,name_base,Bradley,tiger
19571520,name_type,St,tiger
19571520,zip_right,37040,tiger
19571735,name,Matthew Court,regular
19571735,highway,residential,regular
19571735,cfcc,A41,tiger
19571735,county,"Montgomery, TN",tiger
19571735,reviewed,yes,tiger
19571735,zip_left,37042,tiger
19571735,name_base,Matthew,tiger
19571735,name_type,Ct,tiger
19571735,zip_right,37042,tiger
19571943,name,Yarbrough Circle,regular
19571943,highway,residential,regular
19571943,cfcc,A41,tiger
19571943,county,"Montgomery, TN",tiger
19571943,reviewed,no,tiger
19571943,zip_left,37052,tiger
19571943,name_base,Yarbrough,tiger
19571943,name_type,Cir,tiger
19571943,zip_right,37052,tiger
19572355,name,South Shadowlawn Court,regular
19572355,highway,residential,regular
19572355,cfcc,A41,tiger
19572355,county,"Montgomery, TN",tiger
19572355,reviewed,no,tiger
19572355,zip_left,37040,tiger
19572355,name_base,Shadowlawn,tiger
19572355,name_type,Ct,tiger
19572355,zip_right,37040,tiger
19572355,name_direction_prefix,S,tiger
19572768,lit,yes,regular
19572768,name,Monarch Court,regular
19572768,lanes,2,regular
19572768,highway,residential,regular
19572768,surface,asphalt,regular
19572768,maxspeed,20 mph,regular
19572768,sidewalk,no,regular
19572768,smoothness,excellent,regular
19572768,cfcc,A41,tiger
19572768,county,"Montgomery, TN",tiger
19572768,reviewed,yes,tiger
19572768,zip_left,37042,tiger
19572768,name_base,Monarch,tiger
19572768,name_type,Ct,tiger
19572768,zip_right,37042,tiger
19573189,name,Martin Street,regular
19573189,highway,residential,regular
19573189,cfcc,A41,tiger
19573189,county,"Montgomery, TN",tiger
19573189,reviewed,no,tiger
19573189,zip_left,37040,tiger
19573189,name_base,Martin,tiger
19573189,name_type,St,tiger
19573189,zip_right,37040,tiger
19573561,name,Mallard Drive,regular
19573561,highway,residential,regular
19573561,cfcc,A41,tiger
19573561,county,"Montgomery, TN",tiger
19573561,reviewed,no,tiger
19573561,zip_left,37042,tiger
19573561,name_base,Mallard,tiger
19573561,name_type,Dr,tiger
19573561,zip_right,37042,tiger
19574007,name,Halliburton Road,regular
19574007,highway,residential,regular
19574007,cfcc,A41,tiger
19574007,county,"Montgomery, TN",tiger
19574007,reviewed,no,tiger
19574007,zip_left,37043,tiger
19574007,name_base,Halliburton,tiger
19574007,name_type,Rd,tiger
19574007,zip_right,37043,tiger
19574459,name,New Road,regular
19574459,highway,residential,regular
19574459,cfcc,A41,tiger
19574459,county,"Montgomery, TN",tiger
19574459,reviewed,no,tiger
19574459,zip_left,37040,tiger
19574459,name_base,New,tiger
19574459,name_type,Rd,tiger
19574459,zip_right,37040,tiger
19574887,name,Chickasaw Drive,regular
19574887,highway,residential,regular
19574887,cfcc,A41,tiger
19574887,county,"Montgomery, TN",tiger
19574887,reviewed,no,tiger
19574887,zip_left,37043,tiger
19574887,name_base,Chickasaw,tiger
19574887,name_type,Dr,tiger
19574887,zip_right,37043,tiger
19587861,name,John Farmer Road,regular
19587861,highway,residential,regular
19587861,cfcc,A41,tiger
19587861,county,"Robertson, TN",tiger
19587861,reviewed,no,tiger
19587861,zip_left,37032,tiger
19587861,name_base,John Farmer,tiger
19587861,name_type,Rd,tiger
19587861,zip_right,37032,tiger
19588318,highway,residential,regular
19588318,cfcc,A41,tiger
19588318,tlid,97439717,tiger
19588318,county,"Robertson, TN",tiger
19588318,source,tiger_import_dch_v0.6_20070829,tiger
19588318,reviewed,no,tiger
19588318,separated,no,tiger
19588318,upload_uuid,bulk_upload.pl-fadf6ec6-fa37-4211-80b7-2443d034999c,tiger
19588698,highway,service,regular
19588698,cfcc,A41,tiger
19588698,county,"Robertson, TN",tiger
19589074,highway,residential,regular
19589074,cfcc,A41,tiger
19589074,tlid,97448465,tiger
19589074,county,"Robertson, TN",tiger
19589074,source,tiger_import_dch_v0.6_20070829,tiger
19589074,reviewed,no,tiger
19589074,separated,no,tiger
19589074,upload_uuid,bulk_upload.pl-fadf6ec6-fa37-4211-80b7-2443d034999c,tiger
19589547,highway,service,regular
19589547,service,driveway,regular
19589956,highway,residential,regular
19589956,cfcc,A41,tiger
19589956,tlid,97439311:97439781,tiger
19589956,county,"Robertson, TN",tiger
19589956,source,tiger_import_dch_v0.6_20070829,tiger
19589956,reviewed,no,tiger
19589956,separated,no,tiger
19589956,upload_uuid,bulk_upload.pl-fadf6ec6-fa37-4211-80b7-2443d034999c,tiger
19590328,lanes,1,regular
19590328,access,private,regular
19590328,highway,service,regular
19590328,service,driveway,regular
19590328,cfcc,A41,tiger
19590328,county,"Robertson, TN",tiger
19590328,reviewed,no,tiger
19590592,name,Highland Avenue,regular
19590592,highway,residential,regular
19590592,cfcc,A41,tiger
19590592,county,"Rutherford, TN",tiger
19590592,reviewed,no,tiger
19590592,zip_left,37167,tiger
19590592,name_base,Highland,tiger
19590592,name_type,Ave,tiger
19590823,highway,residential,regular
19590823,cfcc,A41,tiger
19590823,tlid,97450468:97450469,tiger
19590823,county,"Robertson, TN",tiger
19590823,source,tiger_import_dch_v0.6_20070829,tiger
19590823,reviewed,no,tiger
19590823,separated,no,tiger
19590823,upload_uuid,bulk_upload.pl-fadf6ec6-fa37-4211-80b7-2443d034999c,tiger
19591128,highway,residential,regular
19591128,cfcc,A41,tiger
19591128,tlid,97439740,tiger
19591128,county,"Robertson, TN",tiger
19591128,source,tiger_import_dch_v0.6_20070829,tiger
19591128,reviewed,no,tiger
19591128,separated,no,tiger
19591128,upload_uuid,bulk_upload.pl-fadf6ec6-fa37-4211-80b7-2443d034999c,tiger
19591360,highway,residential,regular
19591360,cfcc,A41,tiger
19591360,county,"Rutherford, TN",tiger
19591360,reviewed,no,tiger
19591568,ref,SR 256,regular
19591568,name,Cedar Hill Road,regular
19591568,highway,secondary,regular
19591568,cfcc,A31,tiger
19591568,county,"Robertson, TN",tiger
19591568,reviewed,no,tiger
19591568,zip_left,37010,tiger
19591568,name_base,Cedar Hill,tiger
19591568,name_type,Rd,tiger
19591568,zip_right,37010,tiger
19591749,highway,residential,regular
19591749,cfcc,A41,tiger
19591749,tlid,59019288:59018786,tiger
19591749,county,"Rutherford, TN",tiger
19591749,source,tiger_import_dch_v0.6_20070829,tiger
19591749,reviewed,no,tiger
19591749,separated,no,tiger
19591749,upload_uuid,bulk_upload.pl-4501dbdd-126a-428c-8c0d-f2508ccd7b37,tiger
19591982,highway,residential,regular
19591982,cfcc,A41,tiger
19591982,tlid,59024478,tiger
19591982,county,"Rutherford, TN",tiger
19591982,source,tiger_import_dch_v0.6_20070829,tiger
19591982,reviewed,no,tiger
19591982,separated,no,tiger
19591982,upload_uuid,bulk_upload.pl-4501dbdd-126a-428c-8c0d-f2508ccd7b37,tiger
19592250,name,Cherry Road,regular
19592250,highway,residential,regular
19592250,cfcc,A41,tiger
19592250,county,"Robertson, TN",tiger
19592250,reviewed,no,tiger
19592250,zip_left,37172,tiger
19592250,name_base,Cherry,tiger
19592250,name_type,Rd,tiger
19592250,zip_right,37172,tiger
19592451,name,Orchard Drive,regular
19592451,highway,residential,regular
19592451,cfcc,A41,tiger
19592451,county,"Robertson, TN",tiger
19592451,reviewed,no,tiger
19592451,zip_left,37073,tiger
19592451,name_base,Orchard,tiger
19592451,name_type,Dr,tiger
19592451,zip_right,37073,tiger
19592722,access,private,regular
19592722,highway,service,regular
19592722,cfcc,A74,tiger
19592722,tlid,59035513,tiger
19592722,county,"Rutherford, TN",tiger
19592722,source,tiger_import_dch_v0.6_20070829,tiger
19592722,reviewed,no,tiger
19592722,upload_uuid,bulk_upload.pl-4501dbdd-126a-428c-8c0d-f2508ccd7b37,tiger
19592967,access,private,regular
19592967,highway,service,regular
19592967,cfcc,A74,tiger
19592967,county,"Rutherford, TN",tiger
19592967,reviewed,no,tiger
19593230,name,Fykes Grove Road,regular
19593230,lanes,2,regular
19593230,highway,unclassified,regular
19593230,cfcc,A41,tiger
19593230,county,"Robertson, TN",tiger
19593230,reviewed,no,tiger
19593230,zip_left,37032,tiger
19593230,name_base,Fykes Grove,tiger
19593230,name_type,Rd,tiger
19593230,zip_right,37032,tiger
19593448,highway,residential,regular
19593448,cfcc,A41,tiger
19593448,tlid,59024711,tiger
19593448,county,"Rutherford, TN",tiger
19593448,source,tiger_import_dch_v0.6_20070829,tiger
19593448,reviewed,no,tiger
19593448,separated,no,tiger
19593448,upload_uuid,bulk_upload.pl-4501dbdd-126a-428c-8c0d-f2508ccd7b37,tiger
19593667,highway,residential,regular
19593667,cfcc,A41,tiger
19593667,tlid,59037099,tiger
19593667,county,"Rutherford, TN",tiger
19593667,source,tiger_import_dch_v0.6_20070829,tiger
19593667,reviewed,no,tiger
19593667,separated,no,tiger
19593667,upload_uuid,bulk_upload.pl-4501dbdd-126a-428c-8c0d-f2508ccd7b37,tiger
19593963,access,private,regular
19593963,highway,service,regular
19593963,cfcc,A74,tiger
19593963,tlid,59035947,tiger
19593963,county,"Rutherford, TN",tiger
19593963,source,tiger_import_dch_v0.6_20070829,tiger
19593963,reviewed,no,tiger
19593963,upload_uuid,bulk_upload.pl-4501dbdd-126a-428c-8c0d-f2508ccd7b37,tiger
19594213,name,Oak Ridge Drive,regular
19594213,highway,residential,regular
19594213,cfcc,A41,tiger
19594213,county,"Robertson, TN",tiger
19594213,reviewed,no,tiger
19594213,name_base,Oak Ridge,tiger
19594213,name_type,Dr,tiger
19594391,name,Todd Court,regular
19594391,highway,residential,regular
19594391,cfcc,A41,tiger
19594391,county,"Rutherford, TN",tiger
19594391,reviewed,no,tiger
19594391,zip_left,37130,tiger
19594391,name_base,Todd,tiger
19594391,name_type,Ct,tiger
19594391,zip_right,37130,tiger
19594576,name,Poole Knobs Recreation Area,regular
19594576,highway,residential,regular
19594576,cfcc,A41,tiger
19594576,tlid,59019710:59019704:59019708,tiger
19594576,county,"Rutherford, TN",tiger
19594576,source,tiger_import_dch_v0.6_20070829,tiger
19594576,reviewed,no,tiger
19594576,name_base,Poole Knobs Recreation Area,tiger
19594576,separated,no,tiger
19594576,upload_uuid,bulk_upload.pl-4501dbdd-126a-428c-8c0d-f2508ccd7b37,tiger
