id,lat,lon,user,uid,version,changeset,timestamp
53697196,36.0711201,-87.3743034,brogo,63107,3,26051816,2014-10-13T15:59:15Z
53697444,36.1480619,-87.3043093,dchiles,153669,3,27304176,2014-12-07T03:13:21Z
53697659,36.246023,-87.24119,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:59:10Z
53697853,36.256094,-87.4719624,techlady,104962,3,27939482,2015-01-05T18:45:18Z
53698087,36.169703,-87.26684,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:59:23Z
53698377,36.1052154,-87.2386467,dr ingrid,1901542,4,25904046,2014-10-06T19:53:09Z
53698597,36.091201,-87.407069,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:59:37Z
53698837,36.0608252,-87.2213323,CynicalDooDad,1505651,4,26270295,2014-10-23T04:19:21Z
53699044,36.1755547,-87.1689311,jonesydesign,1802220,3,25965671,2014-10-09T17:16:18Z
53699257,36.145896,-87.548088,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:59:56Z
53699476,36.249781,-87.435687,Spanholz,2209894,3,43889075,2016-11-23T08:02:42Z
53699684,36.2052384,-87.291164,DKNOTT,1149057,3,21394260,2014-03-30T03:24:48Z
53699886,36.0853959,-87.3755051,brogo,63107,3,26051816,2014-10-13T15:59:16Z
53700123,36.269445,-87.16598,woodpeck_fixbot,147510,2,3129938,2009-11-16T09:00:24Z
53700388,36.31961,-87.2624371,calfarome,2511706,3,41624665,2016-08-22T21:12:33Z
53700607,36.095152,-87.489514,woodpeck_fixbot,147510,2,3129938,2009-11-16T09:00:38Z
53700827,36.1112589,-87.3226122,dannykath,2226712,3,38364992,2016-04-06T22:16:15Z
53701056,36.229156,-87.286872,woodpeck_fixbot,147510,2,3129938,2009-11-16T09:00:52Z
53701262,36.118287,-87.274237,woodpeck_fixbot,147510,2,3129938,2009-11-16T09:01:13Z
53701481,36.2115973,-87.3952744,maxerickson,360392,4,30394203,2015-04-22T02:42:09Z
53701712,35.9883641,-87.2330555,rickmastfan67,252811,3,6236264,2010-10-31T09:32:15Z
53701914,36.022427,-87.348875,woodpeck_fixbot,147510,2,3129938,2009-11-16T09:01:34Z
53702103,36.1405172,-87.5099093,fredjunod,84054,3,21954604,2014-04-26T13:40:49Z
53702341,36.121048,-87.338113,Spanholz,2209894,3,43888823,2016-11-23T07:45:20Z
53702548,36.0206437,-87.3339342,Lambertus,6424,3,7796751,2011-04-07T17:50:34Z
53702905,36.3027724,-87.5173378,Spanholz,2209894,3,43889254,2016-11-23T08:13:21Z
53703122,36.112815,-87.467485,woodpeck_fixbot,147510,2,3129938,2009-11-16T09:02:11Z
53703325,35.9785972,-87.2305128,rickmastfan67,252811,3,6236264,2010-10-31T09:44:14Z
53703581,36.0363568,-87.265509,CynicalDooDad,1505651,3,26178787,2014-10-18T20:40:51Z
53703851,36.082557,-87.384362,woodpeck_fixbot,147510,2,3129938,2009-11-16T09:02:31Z
53704104,36.0160963,-87.3327487,Lambertus,6424,3,7796751,2011-04-07T17:50:33Z
53704349,36.103567,-87.468289,woodpeck_fixbot,147510,2,3129938,2009-11-16T09:02:45Z
53704558,35.983855,-87.397955,woodpeck_fixbot,147510,2,3129938,2009-11-16T09:02:52Z
53704804,36.126818,-87.205544,woodpeck_fixbot,147510,2,3129938,2009-11-16T09:02:59Z
53705002,36.266593,-87.379956,woodpeck_fixbot,147510,2,3129938,2009-11-16T09:03:05Z
53705236,36.0623201,-87.3272304,CynicalDooDad,1505651,4,26221690,2014-10-20T19:58:44Z
53729489,35.941757,-87.419877,woodpeck_fixbot,147510,2,3021147,2009-11-02T23:38:48Z
53729697,35.6897335,-87.3160741,Sundance,239998,3,13632016,2012-10-25T20:46:24Z
53729921,35.670841,-87.529428,woodpeck_fixbot,147510,2,3021147,2009-11-02T23:38:58Z
53730214,35.923544,-87.479315,woodpeck_fixbot,147510,2,3021147,2009-11-02T23:39:05Z
